Activity,X,Y,Z,Time
abd_adduction,1.16,1.03,9.28,2021-06-30 19:06:53
abd_adduction,0.37,1.0,10.18,2021-06-30 19:06:53
abd_adduction,0.44,0.89,9.46,2021-06-30 19:06:53
abd_adduction,-0.12,0.7,9.84,2021-06-30 19:06:54
abd_adduction,0.73,0.77,10.13,2021-06-30 19:06:54
abd_adduction,-0.06,0.63,9.96,2021-06-30 19:06:54
abd_adduction,-0.08,0.71,10.0,2021-06-30 19:06:54
abd_adduction,-1.41,0.8,10.16,2021-06-30 19:06:54
abd_adduction,-1.23,0.88,9.72,2021-06-30 19:06:55
abd_adduction,-0.31,1.53,9.69,2021-06-30 19:06:55
abd_adduction,1.17,1.8,9.7,2021-06-30 19:06:55
abd_adduction,1.64,1.75,10.03,2021-06-30 19:06:55
abd_adduction,2.53,1.38,9.42,2021-06-30 19:06:55
abd_adduction,3.44,1.15,9.73,2021-06-30 19:06:56
abd_adduction,1.97,0.85,9.74,2021-06-30 19:06:56
abd_adduction,3.73,1.07,9.5,2021-06-30 19:06:56
abd_adduction,3.02,1.42,9.55,2021-06-30 19:06:56
abd_adduction,1.55,1.82,9.8,2021-06-30 19:06:56
abd_adduction,0.94,1.55,9.6,2021-06-30 19:06:56
abd_adduction,0.4,1.52,9.51,2021-06-30 19:06:57
abd_adduction,0.2,1.01,9.92,2021-06-30 19:06:57
abd_adduction,-0.17,0.99,9.43,2021-06-30 19:06:57
abd_adduction,-1.32,0.87,10.5,2021-06-30 19:06:57
abd_adduction,-2.25,0.96,9.97,2021-06-30 19:06:57
abd_adduction,-1.01,1.37,9.93,2021-06-30 19:06:58
abd_adduction,0.31,1.91,9.74,2021-06-30 19:06:58
abd_adduction,0.67,2.02,9.86,2021-06-30 19:06:58
abd_adduction,2.23,1.84,9.58,2021-06-30 19:06:58
abd_adduction,1.8,1.02,9.96,2021-06-30 19:06:59
abd_adduction,2.05,0.89,9.58,2021-06-30 19:06:59
abd_adduction,2.63,0.98,9.85,2021-06-30 19:06:59
abd_adduction,2.79,1.19,9.34,2021-06-30 19:06:59
abd_adduction,2.31,1.77,9.83,2021-06-30 19:06:59
abd_adduction,1.03,2.09,9.78,2021-06-30 19:07:00
abd_adduction,0.46,1.9,10.08,2021-06-30 19:07:00
abd_adduction,-0.26,1.18,9.34,2021-06-30 19:07:00
abd_adduction,-0.92,0.95,9.78,2021-06-30 19:07:00
abd_adduction,-1.08,0.87,10.08,2021-06-30 19:07:00
abd_adduction,-3.05,0.67,10.12,2021-06-30 19:07:01
abd_adduction,-1.45,1.22,10.02,2021-06-30 19:07:01
abd_adduction,-0.51,1.32,9.67,2021-06-30 19:07:01
abd_adduction,-0.26,1.55,9.47,2021-06-30 19:07:01
abd_adduction,0.45,1.4,9.87,2021-06-30 19:07:02
abd_adduction,0.28,1.04,9.71,2021-06-30 19:07:02
abd_adduction,1.27,0.94,9.97,2021-06-30 19:07:02
abd_adduction,1.31,0.91,9.89,2021-06-30 19:07:02
abd_adduction,2.45,1.1,9.92,2021-06-30 19:07:02
abd_adduction,2.16,1.5,9.99,2021-06-30 19:07:03
abd_adduction,0.88,1.89,9.62,2021-06-30 19:07:03
abd_adduction,-0.1,1.61,9.28,2021-06-30 19:07:03
abd_adduction,-0.68,1.65,9.77,2021-06-30 19:07:03
abd_adduction,-0.6,1.08,9.5,2021-06-30 19:07:03
abd_adduction,-1.17,0.98,9.41,2021-06-30 19:07:04
abd_adduction,-2.43,0.68,10.06,2021-06-30 19:07:04
abd_adduction,-3.13,0.76,9.84,2021-06-30 19:07:04
abd_adduction,-1.48,1.33,9.77,2021-06-30 19:07:04
abd_adduction,0.42,1.87,9.73,2021-06-30 19:07:04
abd_adduction,1.28,1.89,9.73,2021-06-30 19:07:05
abd_adduction,1.39,2.14,8.96,2021-06-30 19:07:05
abd_adduction,2.03,2.4,9.52,2021-06-30 19:07:05
abd_adduction,2.83,2.54,10.54,2021-06-30 19:07:05
abd_adduction,2.17,2.26,10.12,2021-06-30 19:07:05
abd_adduction,2.68,2.02,9.93,2021-06-30 19:07:06
abd_adduction,1.42,1.83,9.27,2021-06-30 19:07:06
abd_adduction,-0.03,1.72,9.2,2021-06-30 19:07:06
abd_adduction,-0.1,1.41,9.49,2021-06-30 19:07:06
abd_adduction,-0.2,1.07,10.06,2021-06-30 19:07:06
abd_adduction,-1.28,0.82,10.01,2021-06-30 19:07:07
abd_adduction,-2.74,0.41,9.93,2021-06-30 19:07:07
abd_adduction,-3.43,0.8,9.97,2021-06-30 19:07:07
abd_adduction,-1.93,2.0,9.6,2021-06-30 19:07:07
abd_adduction,0.73,1.92,9.19,2021-06-30 19:07:07
abd_adduction,1.17,1.27,9.79,2021-06-30 19:07:08
abd_adduction,1.12,1.55,10.3,2021-06-30 19:07:08
abd_adduction,1.84,1.38,9.91,2021-06-30 19:07:08
abd_adduction,3.61,1.4,9.73,2021-06-30 19:07:08
abd_adduction,2.66,1.79,10.06,2021-06-30 19:07:08
abd_adduction,0.12,2.09,9.43,2021-06-30 19:07:09
abd_adduction,-0.33,1.84,9.48,2021-06-30 19:07:09
abd_adduction,-1.0,1.37,9.04,2021-06-30 19:07:09
abd_adduction,-1.49,1.17,9.84,2021-06-30 19:07:09
abd_adduction,-1.46,0.73,10.03,2021-06-30 19:07:09
abd_adduction,-3.32,0.58,10.24,2021-06-30 19:07:10
abd_adduction,-2.86,1.29,9.53,2021-06-30 19:07:10
abd_adduction,-0.19,2.03,9.86,2021-06-30 19:07:10
abd_adduction,1.29,2.0,9.76,2021-06-30 19:07:10
abd_adduction,1.5,1.51,9.69,2021-06-30 19:07:11
abd_adduction,2.21,1.43,10.31,2021-06-30 19:07:11
abd_adduction,2.44,1.16,9.93,2021-06-30 19:07:11
abd_adduction,2.17,1.0,9.76,2021-06-30 19:07:11
abd_adduction,2.28,1.31,10.29,2021-06-30 19:07:11
abd_adduction,2.06,1.67,9.9,2021-06-30 19:07:12
abd_adduction,0.69,1.65,9.26,2021-06-30 19:07:12
abd_adduction,0.07,1.05,9.79,2021-06-30 19:07:12
abd_adduction,0.08,0.57,9.8,2021-06-30 19:07:12
abd_adduction,-0.82,0.43,9.61,2021-06-30 19:07:12
abd_adduction,-1.62,0.47,10.1,2021-06-30 19:07:13
abd_adduction,-1.82,0.48,10.27,2021-06-30 19:07:13
abd_adduction,-1.59,0.69,9.75,2021-06-30 19:07:13
abd_adduction,-0.79,0.93,9.38,2021-06-30 19:07:13
