Activity,X,Y,Z,Time
bench_press,2.89,1.49,10.12,2021-06-30 19:44:02
bench_press,-0.49,1.02,9.83,2021-06-30 19:44:02
bench_press,-2.1,0.44,8.72,2021-06-30 19:44:02
bench_press,-2.4,0.46,9.29,2021-06-30 19:44:02
bench_press,-3.72,-0.14,9.69,2021-06-30 19:44:02
bench_press,-2.96,-0.47,9.13,2021-06-30 19:44:02
bench_press,-0.68,0.14,9.5,2021-06-30 19:44:03
bench_press,0.16,0.69,9.63,2021-06-30 19:44:03
bench_press,1.52,0.35,9.97,2021-06-30 19:44:03
bench_press,3.11,0.46,11.39,2021-06-30 19:44:03
bench_press,0.87,1.01,9.58,2021-06-30 19:44:04
bench_press,-1.92,0.65,9.0,2021-06-30 19:44:04
bench_press,-1.96,0.74,9.17,2021-06-30 19:44:04
bench_press,-3.98,0.12,8.8,2021-06-30 19:44:04
bench_press,-3.62,-0.46,8.94,2021-06-30 19:44:04
bench_press,-1.76,0.64,10.0,2021-06-30 19:44:05
bench_press,-0.16,1.26,10.04,2021-06-30 19:44:05
bench_press,1.26,0.16,9.8,2021-06-30 19:44:05
bench_press,2.6,-0.26,11.05,2021-06-30 19:44:05
bench_press,2.98,0.99,11.14,2021-06-30 19:44:05
bench_press,-1.15,1.21,9.19,2021-06-30 19:44:06
bench_press,-1.7,0.82,8.98,2021-06-30 19:44:06
bench_press,-2.16,0.26,9.25,2021-06-30 19:44:06
bench_press,-3.86,-0.43,9.22,2021-06-30 19:44:06
bench_press,-2.15,0.51,9.25,2021-06-30 19:44:06
bench_press,-0.22,0.65,8.79,2021-06-30 19:44:07
bench_press,1.13,0.79,10.36,2021-06-30 19:44:07
bench_press,3.2,-0.27,10.66,2021-06-30 19:44:07
bench_press,4.05,1.02,11.27,2021-06-30 19:44:07
bench_press,0.12,0.91,9.09,2021-06-30 19:44:07
bench_press,-1.11,0.75,9.26,2021-06-30 19:44:08
bench_press,-2.51,0.67,9.46,2021-06-30 19:44:08
