Activity,X,Y,Z,Time
flex_extension,5.74,-2.35,4.84,2021-06-30 19:23:21
flex_extension,7.89,-4.43,1.29,2021-06-30 19:23:21
flex_extension,7.6,-5.01,-3.54,2021-06-30 19:23:21
flex_extension,6.03,-4.27,-3.41,2021-06-30 19:23:21
flex_extension,4.57,-0.17,10.63,2021-06-30 19:23:22
flex_extension,1.17,-0.37,11.41,2021-06-30 19:23:22
flex_extension,-0.69,-0.95,10.18,2021-06-30 19:23:22
flex_extension,-1.75,-0.77,11.06,2021-06-30 19:23:22
flex_extension,-1.55,-1.16,9.64,2021-06-30 19:23:22
flex_extension,0.01,0.23,14.13,2021-06-30 19:23:23
flex_extension,3.32,-1.44,7.29,2021-06-30 19:23:23
flex_extension,7.33,-2.84,3.81,2021-06-30 19:23:23
flex_extension,8.84,-3.23,3.02,2021-06-30 19:23:23
flex_extension,8.03,-4.72,-1.74,2021-06-30 19:23:24
flex_extension,6.68,-3.66,0.08,2021-06-30 19:23:24
flex_extension,2.67,-0.85,11.41,2021-06-30 19:23:24
flex_extension,0.41,-0.63,11.55,2021-06-30 19:23:24
flex_extension,-1.18,-0.46,12.36,2021-06-30 19:23:24
flex_extension,0.2,0.26,12.26,2021-06-30 19:23:25
flex_extension,4.41,-1.91,6.55,2021-06-30 19:23:25
flex_extension,7.76,-3.42,2.99,2021-06-30 19:23:25
flex_extension,8.22,-4.03,0.04,2021-06-30 19:23:25
flex_extension,8.31,-4.28,0.83,2021-06-30 19:23:25
flex_extension,1.88,-3.84,2.03,2021-06-30 19:23:26
flex_extension,1.05,-0.11,13.79,2021-06-30 19:23:26
flex_extension,-0.36,-0.8,10.16,2021-06-30 19:23:26
flex_extension,-0.95,-0.43,13.51,2021-06-30 19:23:26
flex_extension,1.22,-0.26,12.01,2021-06-30 19:23:26
flex_extension,4.85,-1.98,4.85,2021-06-30 19:23:27
flex_extension,7.88,-3.98,1.8,2021-06-30 19:23:27
flex_extension,7.53,-5.42,-1.88,2021-06-30 19:23:27
flex_extension,6.69,-2.78,2.7,2021-06-30 19:23:27
flex_extension,1.62,-1.63,9.12,2021-06-30 19:23:27
flex_extension,-1.32,-0.58,12.72,2021-06-30 19:23:28
flex_extension,-2.27,-0.99,10.41,2021-06-30 19:23:28
flex_extension,-2.52,-0.63,10.61,2021-06-30 19:23:28
flex_extension,-0.61,-0.43,12.13,2021-06-30 19:23:28
flex_extension,2.96,-1.56,7.61,2021-06-30 19:23:28
flex_extension,6.96,-3.31,2.84,2021-06-30 19:23:29
flex_extension,8.33,-4.15,-0.75,2021-06-30 19:23:29
flex_extension,7.38,-3.32,1.08,2021-06-30 19:23:29
flex_extension,4.47,-1.48,7.98,2021-06-30 19:23:29
flex_extension,0.65,-0.84,11.14,2021-06-30 19:23:29
flex_extension,-1.53,-1.02,11.12,2021-06-30 19:23:30
flex_extension,-2.48,-0.95,11.98,2021-06-30 19:23:30
flex_extension,-0.53,-0.44,11.72,2021-06-30 19:23:30
flex_extension,3.36,-0.56,8.79,2021-06-30 19:23:30
flex_extension,7.11,-2.95,3.38,2021-06-30 19:23:31
flex_extension,8.59,-3.45,0.78,2021-06-30 19:23:31
flex_extension,9.31,-3.13,3.07,2021-06-30 19:23:31
flex_extension,6.17,-3.23,-0.09,2021-06-30 19:23:31
flex_extension,1.05,0.12,12.9,2021-06-30 19:23:31
flex_extension,-0.35,-0.7,11.51,2021-06-30 19:23:31
flex_extension,-2.11,-1.46,11.67,2021-06-30 19:23:32
flex_extension,-1.19,-0.99,11.72,2021-06-30 19:23:32
flex_extension,2.35,-0.47,9.51,2021-06-30 19:23:32
flex_extension,5.72,-2.05,6.37,2021-06-30 19:23:32
flex_extension,8.07,-2.56,4.16,2021-06-30 19:23:33
flex_extension,7.56,-4.05,-1.26,2021-06-30 19:23:33
flex_extension,5.84,-0.54,7.69,2021-06-30 19:23:33
flex_extension,1.82,-1.55,10.41,2021-06-30 19:23:33
flex_extension,-1.23,-0.85,11.68,2021-06-30 19:23:33
flex_extension,-1.59,-1.14,10.55,2021-06-30 19:23:34
flex_extension,-2.02,-1.08,9.93,2021-06-30 19:23:34
flex_extension,-0.29,-0.84,13.41,2021-06-30 19:23:34
flex_extension,4.31,-2.73,2.8,2021-06-30 19:23:34
flex_extension,8.56,-4.05,0.63,2021-06-30 19:23:34
flex_extension,7.94,-4.77,-1.9,2021-06-30 19:23:35
flex_extension,7.05,-2.59,2.42,2021-06-30 19:23:35
flex_extension,4.35,-1.51,8.74,2021-06-30 19:23:35
flex_extension,1.37,-1.28,10.44,2021-06-30 19:23:35
flex_extension,-0.39,-1.24,9.95,2021-06-30 19:23:35
flex_extension,-1.78,-1.14,12.44,2021-06-30 19:23:36
flex_extension,0.15,-0.56,12.05,2021-06-30 19:23:36
flex_extension,3.93,-0.71,7.8,2021-06-30 19:23:36
flex_extension,7.28,-2.86,3.59,2021-06-30 19:23:36
flex_extension,8.65,-3.54,0.83,2021-06-30 19:23:36
flex_extension,8.65,-3.07,0.93,2021-06-30 19:23:37
flex_extension,6.97,-2.23,4.9,2021-06-30 19:23:37
flex_extension,3.2,-1.53,9.36,2021-06-30 19:23:37
flex_extension,0.67,-1.17,10.01,2021-06-30 19:23:37
flex_extension,-1.76,-1.19,11.53,2021-06-30 19:23:37
flex_extension,-1.57,-0.2,13.56,2021-06-30 19:23:38
flex_extension,1.22,-0.29,10.57,2021-06-30 19:23:38
flex_extension,5.47,-1.87,5.59,2021-06-30 19:23:38
flex_extension,8.07,-2.78,2.96,2021-06-30 19:23:38
flex_extension,8.56,-3.26,0.88,2021-06-30 19:23:39
flex_extension,7.39,-2.56,3.24,2021-06-30 19:23:39
flex_extension,4.99,-0.91,8.35,2021-06-30 19:23:39
flex_extension,1.9,-0.66,9.97,2021-06-30 19:23:39
flex_extension,-0.58,-0.92,10.74,2021-06-30 19:23:39
flex_extension,-2.05,-1.06,11.14,2021-06-30 19:23:39
flex_extension,-1.55,-0.36,13.22,2021-06-30 19:23:40
flex_extension,1.88,-0.3,9.98,2021-06-30 19:23:40
flex_extension,5.98,-2.09,3.44,2021-06-30 19:23:40
flex_extension,8.84,-3.08,0.04,2021-06-30 19:23:40
flex_extension,8.81,-2.05,0.69,2021-06-30 19:23:41
flex_extension,6.43,-1.78,6.21,2021-06-30 19:23:41
flex_extension,2.87,-0.99,9.94,2021-06-30 19:23:41
flex_extension,0.58,-1.12,9.96,2021-06-30 19:23:41
flex_extension,-1.59,-0.28,10.51,2021-06-30 19:23:41
flex_extension,-3.08,-0.43,11.95,2021-06-30 19:23:42
flex_extension,-1.86,0.54,12.18,2021-06-30 19:23:42
flex_extension,1.76,0.43,9.39,2021-06-30 19:23:42
flex_extension,5.66,-1.16,6.22,2021-06-30 19:23:42
flex_extension,8.21,-3.1,2.35,2021-06-30 19:23:42
flex_extension,8.6,-3.02,0.23,2021-06-30 19:23:43
flex_extension,4.18,-1.53,8.17,2021-06-30 19:23:43
flex_extension,3.26,-0.37,10.25,2021-06-30 19:23:43
flex_extension,-0.65,-0.2,11.6,2021-06-30 19:23:43
flex_extension,-3.18,-0.67,10.42,2021-06-30 19:23:43
flex_extension,-3.21,-0.14,13.11,2021-06-30 19:23:43
flex_extension,-0.26,0.12,10.54,2021-06-30 19:23:44
flex_extension,4.38,-1.07,6.63,2021-06-30 19:23:44
flex_extension,8.0,-3.11,2.8,2021-06-30 19:23:44
flex_extension,8.58,-3.85,-0.54,2021-06-30 19:23:44
flex_extension,8.43,-3.74,-1.31,2021-06-30 19:23:45
flex_extension,6.87,-2.05,4.3,2021-06-30 19:23:45
flex_extension,3.44,-1.14,9.48,2021-06-30 19:23:45
flex_extension,0.7,-0.77,9.88,2021-06-30 19:23:45
