Activity,X,Y,Z,Time
abd_adduction,0.01,0.22,9.86,2021-06-30 19:06:32
abd_adduction,0.06,0.24,9.81,2021-06-30 19:06:33
abd_adduction,0.13,0.19,10.11,2021-06-30 19:06:33
abd_adduction,0.13,0.32,9.87,2021-06-30 19:06:33
abd_adduction,1.79,0.36,10.47,2021-06-30 19:06:33
abd_adduction,1.15,0.2,10.02,2021-06-30 19:06:33
abd_adduction,0.25,0.2,9.1,2021-06-30 19:06:34
abd_adduction,0.45,0.76,9.36,2021-06-30 19:06:34
abd_adduction,0.32,1.6,9.78,2021-06-30 19:06:34
abd_adduction,-0.24,1.52,10.09,2021-06-30 19:06:34
abd_adduction,0.06,1.12,9.72,2021-06-30 19:06:34
abd_adduction,-0.1,1.13,10.02,2021-06-30 19:06:35
abd_adduction,-0.59,1.02,10.23,2021-06-30 19:06:35
abd_adduction,-1.56,1.03,10.03,2021-06-30 19:06:35
abd_adduction,-1.69,1.3,9.99,2021-06-30 19:06:35
abd_adduction,-1.22,1.82,9.08,2021-06-30 19:06:35
abd_adduction,0.79,1.66,10.24,2021-06-30 19:06:36
abd_adduction,0.63,1.15,10.09,2021-06-30 19:06:36
abd_adduction,0.12,0.66,9.32,2021-06-30 19:06:36
abd_adduction,1.09,0.73,9.76,2021-06-30 19:06:36
abd_adduction,1.21,0.8,10.05,2021-06-30 19:06:37
abd_adduction,0.9,0.74,9.64,2021-06-30 19:06:37
abd_adduction,0.69,0.62,9.91,2021-06-30 19:06:37
abd_adduction,1.47,0.75,9.86,2021-06-30 19:06:37
abd_adduction,1.35,0.98,9.56,2021-06-30 19:06:37
abd_adduction,0.32,1.3,9.92,2021-06-30 19:06:38
abd_adduction,0.08,1.59,10.02,2021-06-30 19:06:38
abd_adduction,-0.2,1.87,10.0,2021-06-30 19:06:38
abd_adduction,-0.66,1.65,9.92,2021-06-30 19:06:38
abd_adduction,-0.64,1.03,9.58,2021-06-30 19:06:38
abd_adduction,-1.07,0.66,9.82,2021-06-30 19:06:39
abd_adduction,-1.65,0.61,10.15,2021-06-30 19:06:39
abd_adduction,-2.76,0.96,10.11,2021-06-30 19:06:39
abd_adduction,-1.55,1.78,9.45,2021-06-30 19:06:39
abd_adduction,0.9,1.89,10.03,2021-06-30 19:06:39
abd_adduction,1.44,1.8,9.34,2021-06-30 19:06:40
abd_adduction,2.86,1.62,9.6,2021-06-30 19:06:40
abd_adduction,1.66,1.17,9.76,2021-06-30 19:06:40
