Activity,X,Y,Z,Time
flex_extension,1.09,-1.03,11.9,2021-07-06 19:29:14
flex_extension,3.52,-0.16,8.6,2021-07-06 19:29:14
flex_extension,7.29,-1.24,4.87,2021-07-06 19:29:14
flex_extension,8.61,-3.48,-2.31,2021-07-06 19:29:15
flex_extension,7.59,-1.32,2.9,2021-07-06 19:29:15
flex_extension,2.69,-0.24,10.58,2021-07-06 19:29:15
flex_extension,0.44,-0.48,12.32,2021-07-06 19:29:15
flex_extension,-0.11,-0.63,12.54,2021-07-06 19:29:15
flex_extension,2.17,-0.23,10.4,2021-07-06 19:29:16
flex_extension,6.45,-0.78,4.6,2021-07-06 19:29:16
flex_extension,8.7,-3.03,-1.6,2021-07-06 19:29:16
flex_extension,8.61,-1.15,1.04,2021-07-06 19:29:16
flex_extension,5.2,-1.21,6.85,2021-07-06 19:29:16
flex_extension,2.25,-0.8,10.58,2021-07-06 19:29:17
flex_extension,0.55,-0.94,11.52,2021-07-06 19:29:17
flex_extension,0.72,-0.35,13.42,2021-07-06 19:29:17
flex_extension,4.09,-0.9,7.04,2021-07-06 19:29:17
flex_extension,8.37,-2.08,0.94,2021-07-06 19:29:18
flex_extension,8.67,-1.86,-0.6,2021-07-06 19:29:18
flex_extension,5.61,-0.62,7.12,2021-07-06 19:29:18
flex_extension,2.44,-0.82,10.34,2021-07-06 19:29:18
flex_extension,0.34,-0.5,11.17,2021-07-06 19:29:18
flex_extension,-0.28,-0.76,12.46,2021-07-06 19:29:19
flex_extension,2.05,-0.31,10.26,2021-07-06 19:29:19
flex_extension,6.46,-0.9,4.55,2021-07-06 19:29:19
flex_extension,9.09,-2.06,-1.69,2021-07-06 19:29:19
flex_extension,8.11,-1.59,-0.47,2021-07-06 19:29:19
flex_extension,4.85,-1.38,7.03,2021-07-06 19:29:20
flex_extension,1.92,-0.84,10.95,2021-07-06 19:29:20
flex_extension,0.1,-1.04,12.28,2021-07-06 19:29:20
flex_extension,0.88,-0.16,12.22,2021-07-06 19:29:20
