Activity,ax,ay,az,Time
pointing downwards,2.079,8.475,4.842,2021-04-05 18:17:59
pointing downwards,2.316,8.313,4.878,2021-04-05 18:17:59
pointing downwards,2.225,8.614,4.717,2021-04-05 18:17:59
pointing downwards,2.265,8.693,4.612,2021-04-05 18:17:59
pointing downwards,1.339,9.416,3.039,2021-04-05 18:17:59
pointing downwards,0.185,9.73,1.866,2021-04-05 18:17:59
pointing downwards,0.836,9.601,2.452,2021-04-05 18:17:59
pointing downwards,0.616,9.804,2.076,2021-04-05 18:17:59
pointing downwards,0.793,9.677,2.266,2021-04-05 18:17:59
pointing downwards,0.3,9.661,1.794,2021-04-05 18:17:59
pointing downwards,0.467,9.9,1.997,2021-04-05 18:17:59
pointing downwards,0.479,9.759,1.981,2021-04-05 18:18:00
pointing downwards,0.477,9.735,1.995,2021-04-05 18:18:00
pointing downwards,0.35,9.565,1.82,2021-04-05 18:18:00
pointing downwards,0.601,9.723,1.88,2021-04-05 18:18:00
pointing downwards,0.264,9.768,1.294,2021-04-05 18:18:00
pointing downwards,0.453,9.74,1.679,2021-04-05 18:18:00
pointing downwards,0.029,9.783,1.485,2021-04-05 18:18:00
pointing downwards,0.015,9.663,1.574,2021-04-05 18:18:00
pointing downwards,0.015,9.682,1.583,2021-04-05 18:18:00
pointing downwards,-0.196,9.754,1.504,2021-04-05 18:18:00
pointing downwards,0.127,9.766,1.559,2021-04-05 18:18:00
pointing downwards,0.017,9.682,1.48,2021-04-05 18:18:01
pointing downwards,0.139,9.689,1.507,2021-04-05 18:18:01
pointing downwards,0.111,9.701,1.394,2021-04-05 18:18:01
pointing downwards,-0.028,9.809,1.332,2021-04-05 18:18:01
pointing downwards,0.132,9.859,1.389,2021-04-05 18:18:01
pointing downwards,0.094,9.938,1.358,2021-04-05 18:18:01
pointing downwards,0.154,9.835,1.284,2021-04-05 18:18:01
pointing downwards,0.23,9.814,1.188,2021-04-05 18:18:01
pointing downwards,0.3,9.814,1.203,2021-04-05 18:18:01
pointing downwards,0.17,9.881,1.167,2021-04-05 18:18:02
pointing downwards,0.235,9.876,1.272,2021-04-05 18:18:02
pointing downwards,0.106,9.864,1.092,2021-04-05 18:18:02
pointing downwards,0.257,9.835,1.157,2021-04-05 18:18:02
pointing downwards,0.209,9.807,1.095,2021-04-05 18:18:02
pointing downwards,0.264,9.816,0.987,2021-04-05 18:18:02
pointing downwards,0.228,9.869,1.138,2021-04-05 18:18:02
pointing downwards,0.316,9.776,1.145,2021-04-05 18:18:02
pointing downwards,0.307,9.859,1.116,2021-04-05 18:18:02
pointing downwards,0.333,9.814,1.049,2021-04-05 18:18:02
pointing downwards,0.245,9.835,1.035,2021-04-05 18:18:02
pointing downwards,0.269,9.929,1.004,2021-04-05 18:18:02
pointing downwards,0.293,9.883,1.102,2021-04-05 18:18:02
pointing downwards,0.321,9.893,1.059,2021-04-05 18:18:03
pointing downwards,0.52,9.831,1.176,2021-04-05 18:18:03
pointing downwards,0.271,9.948,1.109,2021-04-05 18:18:03
pointing downwards,0.357,9.871,1.025,2021-04-05 18:18:03
pointing downwards,0.443,9.792,1.033,2021-04-05 18:18:03
pointing downwards,0.273,9.766,1.03,2021-04-05 18:18:03
pointing downwards,0.4,9.783,1.116,2021-04-05 18:18:03
pointing downwards,0.35,9.821,1.085,2021-04-05 18:18:03
pointing downwards,0.364,9.814,1.023,2021-04-05 18:18:03
pointing downwards,0.35,9.828,0.994,2021-04-05 18:18:03
pointing downwards,0.422,9.816,1.035,2021-04-05 18:18:03
pointing downwards,0.501,9.888,0.978,2021-04-05 18:18:03
pointing downwards,0.534,9.752,0.937,2021-04-05 18:18:03
pointing downwards,0.513,9.962,0.927,2021-04-05 18:18:04
pointing downwards,0.486,9.888,0.982,2021-04-05 18:18:04
pointing downwards,0.534,9.855,1.047,2021-04-05 18:18:04
pointing downwards,0.616,9.917,1.03,2021-04-05 18:18:04
pointing downwards,0.561,9.835,0.97,2021-04-05 18:18:04
pointing downwards,0.654,9.823,1.018,2021-04-05 18:18:04
pointing downwards,0.491,9.876,0.97,2021-04-05 18:18:04
pointing downwards,0.63,9.761,1.088,2021-04-05 18:18:04
pointing downwards,0.592,9.807,1.121,2021-04-05 18:18:04
pointing downwards,0.551,9.792,1.121,2021-04-05 18:18:04
pointing downwards,0.508,9.804,1.128,2021-04-05 18:18:04
pointing downwards,0.644,9.756,1.155,2021-04-05 18:18:04
pointing downwards,0.565,9.855,1.124,2021-04-05 18:18:04
pointing downwards,0.618,9.754,1.148,2021-04-05 18:18:05
pointing downwards,0.609,10.017,1.164,2021-04-05 18:18:05
pointing downwards,0.611,9.852,1.258,2021-04-05 18:18:05
pointing downwards,0.597,9.697,1.298,2021-04-05 18:18:05
pointing downwards,0.549,9.792,1.222,2021-04-05 18:18:05
pointing downwards,0.702,9.905,1.03,2021-04-05 18:18:05
pointing downwards,0.532,9.821,1.114,2021-04-05 18:18:05
pointing downwards,0.604,9.651,1.243,2021-04-05 18:18:05
pointing downwards,0.575,9.845,1.239,2021-04-05 18:18:05
pointing downwards,0.656,9.852,1.119,2021-04-05 18:18:05
pointing downwards,0.659,9.771,1.059,2021-04-05 18:18:05
pointing downwards,0.664,9.809,1.229,2021-04-05 18:18:05
pointing downwards,0.647,9.788,1.203,2021-04-05 18:18:05
pointing downwards,0.618,9.771,1.148,2021-04-05 18:18:06
pointing downwards,0.755,9.828,1.09,2021-04-05 18:18:06
pointing downwards,0.733,9.852,1.069,2021-04-05 18:18:06
pointing downwards,0.798,9.895,1.102,2021-04-05 18:18:06
pointing downwards,0.759,9.862,1.15,2021-04-05 18:18:06
pointing downwards,0.573,9.843,1.14,2021-04-05 18:18:06
pointing downwards,0.623,9.756,1.14,2021-04-05 18:18:06
pointing downwards,0.805,9.84,1.104,2021-04-05 18:18:06
pointing downwards,0.731,9.835,1.133,2021-04-05 18:18:06
pointing downwards,0.721,9.771,1.133,2021-04-05 18:18:06
pointing downwards,0.716,9.816,1.088,2021-04-05 18:18:06
pointing downwards,0.719,9.847,1.095,2021-04-05 18:18:06
pointing downwards,0.728,9.792,1.013,2021-04-05 18:18:06
pointing downwards,0.68,9.819,1.124,2021-04-05 18:18:06
pointing downwards,0.733,9.859,1.15,2021-04-05 18:18:07
pointing downwards,0.685,9.795,1.119,2021-04-05 18:18:07
pointing downwards,0.8,9.816,1.138,2021-04-05 18:18:07
pointing downwards,0.75,9.847,1.162,2021-04-05 18:18:07
pointing downwards,0.87,9.754,1.09,2021-04-05 18:18:07
pointing downwards,0.695,9.783,1.083,2021-04-05 18:18:07
pointing downwards,0.791,9.821,1.076,2021-04-05 18:18:07
pointing downwards,0.752,9.773,1.133,2021-04-05 18:18:08
pointing downwards,0.769,9.84,1.171,2021-04-05 18:18:08
pointing downwards,0.819,9.819,1.069,2021-04-05 18:18:08
pointing downwards,0.85,9.838,1.102,2021-04-05 18:18:08
pointing downwards,0.824,9.799,1.224,2021-04-05 18:18:08
pointing downwards,0.723,9.783,1.222,2021-04-05 18:18:08
pointing downwards,0.757,9.819,1.171,2021-04-05 18:18:08
pointing downwards,0.846,9.783,1.128,2021-04-05 18:18:08
pointing downwards,0.759,9.902,1.047,2021-04-05 18:18:08
