Activity,ax,ay,az,Time
pointing downwards,0.76,9.63,0.67,2021-04-05 18:20:17
pointing downwards,0.71,9.62,0.63,2021-04-05 18:20:18
pointing downwards,0.73,9.59,0.59,2021-04-05 18:20:18
pointing downwards,0.71,9.58,0.62,2021-04-05 18:20:18
pointing downwards,0.74,9.63,0.65,2021-04-05 18:20:18
pointing downwards,0.74,9.64,0.61,2021-04-05 18:20:19
pointing downwards,0.72,9.58,0.63,2021-04-05 18:20:19
pointing downwards,0.73,9.75,0.63,2021-04-05 18:20:19
pointing downwards,0.71,9.63,0.66,2021-04-05 18:20:19
pointing downwards,0.73,9.59,0.64,2021-04-05 18:20:19
pointing downwards,0.75,9.54,0.68,2021-04-05 18:20:19
pointing downwards,0.68,9.64,0.67,2021-04-05 18:20:20
pointing downwards,0.76,9.58,0.64,2021-04-05 18:20:20
pointing downwards,0.73,9.56,0.63,2021-04-05 18:20:20
pointing downwards,0.71,9.62,0.73,2021-04-05 18:20:20
pointing downwards,0.69,9.59,0.62,2021-04-05 18:20:20
pointing downwards,0.77,9.68,0.62,2021-04-05 18:20:21
pointing downwards,0.72,9.58,0.56,2021-04-05 18:20:21
pointing downwards,0.74,9.56,0.59,2021-04-05 18:20:21
pointing downwards,0.7,9.6,0.63,2021-04-05 18:20:21
pointing downwards,0.72,9.6,0.64,2021-04-05 18:20:22
pointing downwards,0.72,9.67,0.66,2021-04-05 18:20:22
pointing downwards,0.77,9.58,0.67,2021-04-05 18:20:22
pointing downwards,0.73,9.64,0.64,2021-04-05 18:20:22
pointing downwards,0.73,9.63,0.65,2021-04-05 18:20:22
pointing downwards,0.71,9.59,0.63,2021-04-05 18:20:22
pointing downwards,0.67,9.63,0.62,2021-04-05 18:20:23
pointing downwards,0.71,9.58,0.6,2021-04-05 18:20:23
pointing downwards,0.73,9.62,0.73,2021-04-05 18:20:23
pointing downwards,0.76,9.6,0.64,2021-04-05 18:20:23
pointing downwards,0.73,9.61,0.65,2021-04-05 18:20:23
pointing downwards,0.72,9.54,0.61,2021-04-05 18:20:24
pointing downwards,0.68,9.65,0.6,2021-04-05 18:20:24
pointing downwards,0.7,9.57,0.65,2021-04-05 18:20:24
pointing downwards,0.7,9.59,0.69,2021-04-05 18:20:24
pointing downwards,0.73,9.58,0.61,2021-04-05 18:20:25
pointing downwards,0.68,9.64,0.65,2021-04-05 18:20:25
pointing downwards,0.72,9.59,0.71,2021-04-05 18:20:25
pointing downwards,0.71,9.61,0.68,2021-04-05 18:20:25
pointing downwards,0.7,9.64,0.6,2021-04-05 18:20:25
pointing downwards,0.74,9.64,0.69,2021-04-05 18:20:25
pointing downwards,0.72,9.61,0.61,2021-04-05 18:20:26
pointing downwards,0.72,9.61,0.67,2021-04-05 18:20:26
pointing downwards,0.69,9.59,0.64,2021-04-05 18:20:26
pointing downwards,0.74,9.6,0.61,2021-04-05 18:20:26
pointing downwards,0.7,9.65,0.57,2021-04-05 18:20:27
pointing downwards,0.69,9.71,0.68,2021-04-05 18:20:27
pointing downwards,0.75,9.57,0.5,2021-04-05 18:20:27
pointing downwards,0.74,9.54,0.69,2021-04-05 18:20:27
pointing downwards,0.75,9.67,0.64,2021-04-05 18:20:27
pointing downwards,0.76,9.61,0.67,2021-04-05 18:20:28
pointing downwards,0.72,9.62,0.68,2021-04-05 18:20:28
pointing downwards,0.7,9.53,0.65,2021-04-05 18:20:28
pointing downwards,0.74,9.61,0.71,2021-04-05 18:20:28
pointing downwards,0.72,9.65,0.64,2021-04-05 18:20:28
pointing downwards,0.72,9.56,0.67,2021-04-05 18:20:29
pointing downwards,0.73,9.59,0.65,2021-04-05 18:20:29
pointing downwards,0.7,9.51,0.66,2021-04-05 18:20:29
pointing downwards,0.71,9.6,0.64,2021-04-05 18:20:29
pointing downwards,0.73,9.58,0.66,2021-04-05 18:20:29
pointing downwards,0.68,9.59,0.65,2021-04-05 18:20:30
pointing downwards,0.7,9.6,0.6,2021-04-05 18:20:30
