Activity,ax,ay,az,Time
resting on the table,-0.33,0.43,9.76,2021-04-05 18:37:12
resting on the table,-0.35,0.4,9.76,2021-04-05 18:37:12
resting on the table,-0.38,0.4,9.83,2021-04-05 18:37:12
resting on the table,-0.32,0.42,9.75,2021-04-05 18:37:12
resting on the table,-0.29,0.39,9.79,2021-04-05 18:37:13
resting on the table,-0.28,0.41,9.79,2021-04-05 18:37:13
resting on the table,-0.4,0.41,9.82,2021-04-05 18:37:13
resting on the table,-0.38,0.42,9.77,2021-04-05 18:37:13
resting on the table,-0.36,0.36,9.79,2021-04-05 18:37:13
resting on the table,-0.31,0.38,9.76,2021-04-05 18:37:14
resting on the table,-0.33,0.37,9.84,2021-04-05 18:37:14
resting on the table,-0.28,0.37,9.78,2021-04-05 18:37:14
resting on the table,-0.33,0.36,9.82,2021-04-05 18:37:14
resting on the table,-0.31,0.38,9.8,2021-04-05 18:37:14
resting on the table,-0.38,0.41,9.83,2021-04-05 18:37:15
resting on the table,-0.4,0.38,9.84,2021-04-05 18:37:15
resting on the table,-0.33,0.42,9.86,2021-04-05 18:37:15
resting on the table,-0.36,0.44,9.79,2021-04-05 18:37:15
resting on the table,-0.32,0.38,9.82,2021-04-05 18:37:15
resting on the table,-0.39,0.35,9.71,2021-04-05 18:37:16
resting on the table,-0.31,0.38,9.71,2021-04-05 18:37:16
resting on the table,-0.39,0.37,9.87,2021-04-05 18:37:16
resting on the table,-0.4,0.4,9.79,2021-04-05 18:37:16
resting on the table,-0.36,0.42,9.83,2021-04-05 18:37:16
resting on the table,-0.36,0.38,9.74,2021-04-05 18:37:17
resting on the table,-0.34,0.35,9.76,2021-04-05 18:37:17
resting on the table,-0.32,0.37,9.83,2021-04-05 18:37:17
resting on the table,-0.32,0.43,9.77,2021-04-05 18:37:17
resting on the table,-0.3,0.42,9.82,2021-04-05 18:37:17
resting on the table,-0.32,0.42,9.78,2021-04-05 18:37:18
resting on the table,-0.38,0.42,9.78,2021-04-05 18:37:18
resting on the table,-0.34,0.45,9.82,2021-04-05 18:37:18
resting on the table,-0.39,0.41,9.81,2021-04-05 18:37:18
resting on the table,-0.32,0.4,9.81,2021-04-05 18:37:18
resting on the table,-0.36,0.38,9.79,2021-04-05 18:37:19
resting on the table,-0.35,0.39,9.77,2021-04-05 18:37:19
resting on the table,-0.38,0.42,9.8,2021-04-05 18:37:19
resting on the table,-0.35,0.4,9.82,2021-04-05 18:37:19
resting on the table,-0.37,0.39,9.8,2021-04-05 18:37:19
resting on the table,-0.32,0.42,9.84,2021-04-05 18:37:20
resting on the table,-0.36,0.38,9.87,2021-04-05 18:37:20
resting on the table,-0.35,0.44,9.81,2021-04-05 18:37:20
resting on the table,-0.33,0.37,9.76,2021-04-05 18:37:20
resting on the table,-0.34,0.43,9.82,2021-04-05 18:37:20
resting on the table,-0.4,0.42,9.82,2021-04-05 18:37:21
resting on the table,-0.38,0.42,9.78,2021-04-05 18:37:21
resting on the table,-0.36,0.32,9.82,2021-04-05 18:37:21
resting on the table,-0.37,0.42,9.84,2021-04-05 18:37:21
resting on the table,-0.33,0.43,9.81,2021-04-05 18:37:22
resting on the table,-0.38,0.39,9.73,2021-04-05 18:37:22
resting on the table,-0.34,0.4,9.79,2021-04-05 18:37:22
resting on the table,-0.37,0.36,9.8,2021-04-05 18:37:22
resting on the table,-0.32,0.38,9.8,2021-04-05 18:37:22
resting on the table,-0.35,0.36,9.79,2021-04-05 18:37:23
resting on the table,-0.34,0.4,9.85,2021-04-05 18:37:23
resting on the table,-0.35,0.37,9.81,2021-04-05 18:37:23
resting on the table,-0.35,0.42,9.85,2021-04-05 18:37:23
resting on the table,-0.34,0.4,9.75,2021-04-05 18:37:23
resting on the table,-0.35,0.39,9.75,2021-04-05 18:37:24
resting on the table,-0.32,0.4,9.8,2021-04-05 18:37:24
resting on the table,-0.36,0.43,9.78,2021-04-05 18:37:24
resting on the table,-0.33,0.44,9.7,2021-04-05 18:37:24
resting on the table,-0.34,0.37,9.75,2021-04-05 18:37:24
resting on the table,-0.35,0.36,9.86,2021-04-05 18:37:25
