Activity,ax,ay,az,Time
resting on the table,0.008,0.036,9.784,2021-04-05 18:37:13
resting on the table,-0.012,0.021,9.762,2021-04-05 18:37:13
resting on the table,-0.002,0.016,9.774,2021-04-05 18:37:13
resting on the table,-0.021,0.014,9.774,2021-04-05 18:37:13
resting on the table,-0.004,0.028,9.777,2021-04-05 18:37:13
resting on the table,-0.012,0.005,9.755,2021-04-05 18:37:13
resting on the table,-0.012,0.031,9.769,2021-04-05 18:37:13
resting on the table,-0.007,0.019,9.748,2021-04-05 18:37:13
resting on the table,-0.009,0.028,9.755,2021-04-05 18:37:13
resting on the table,0.005,0.048,9.748,2021-04-05 18:37:14
resting on the table,-0.012,0.031,9.765,2021-04-05 18:37:14
resting on the table,0.005,0.021,9.753,2021-04-05 18:37:14
resting on the table,-0.004,0.012,9.745,2021-04-05 18:37:14
resting on the table,-0.012,0.019,9.753,2021-04-05 18:37:14
resting on the table,-0.031,0.031,9.743,2021-04-05 18:37:14
resting on the table,0.008,0.033,9.755,2021-04-05 18:37:14
resting on the table,0.003,0.012,9.755,2021-04-05 18:37:14
resting on the table,-0.016,0.014,9.753,2021-04-05 18:37:15
resting on the table,-0.016,0.04,9.76,2021-04-05 18:37:15
resting on the table,0.0,0.019,9.757,2021-04-05 18:37:15
resting on the table,-0.009,0.033,9.755,2021-04-05 18:37:15
resting on the table,-0.004,0.014,9.753,2021-04-05 18:37:15
resting on the table,-0.019,0.002,9.743,2021-04-05 18:37:15
resting on the table,-0.021,0.036,9.745,2021-04-05 18:37:15
resting on the table,-0.002,0.04,9.75,2021-04-05 18:37:15
resting on the table,-0.002,0.009,9.753,2021-04-05 18:37:15
resting on the table,-0.007,0.026,9.75,2021-04-05 18:37:15
resting on the table,-0.002,0.024,9.75,2021-04-05 18:37:15
resting on the table,-0.002,-0.003,9.755,2021-04-05 18:37:15
resting on the table,0.003,0.024,9.743,2021-04-05 18:37:15
resting on the table,-0.002,0.028,9.757,2021-04-05 18:37:15
resting on the table,0.008,0.031,9.753,2021-04-05 18:37:16
resting on the table,-0.026,0.031,9.753,2021-04-05 18:37:16
resting on the table,0.008,0.031,9.741,2021-04-05 18:37:16
resting on the table,-0.002,0.036,9.755,2021-04-05 18:37:16
resting on the table,-0.016,0.012,9.753,2021-04-05 18:37:16
resting on the table,0.015,0.045,9.767,2021-04-05 18:37:16
resting on the table,-0.004,0.019,9.753,2021-04-05 18:37:16
resting on the table,-0.007,0.031,9.743,2021-04-05 18:37:16
resting on the table,-0.009,0.028,9.755,2021-04-05 18:37:16
resting on the table,0.003,0.033,9.755,2021-04-05 18:37:16
resting on the table,0.0,0.038,9.765,2021-04-05 18:37:16
resting on the table,-0.016,0.036,9.755,2021-04-05 18:37:16
resting on the table,0.003,0.024,9.75,2021-04-05 18:37:17
resting on the table,-0.021,0.036,9.75,2021-04-05 18:37:17
resting on the table,-0.019,0.019,9.748,2021-04-05 18:37:17
