Activity,ax,ay,az,Time
pointing upwards,0.436,9.699,1.993,2021-04-03 18:18:46
pointing upwards,0.743,9.771,1.497,2021-04-03 18:18:46
pointing upwards,0.652,9.783,1.605,2021-04-03 18:18:46
pointing upwards,0.616,9.711,1.875,2021-04-03 18:18:46
pointing upwards,0.673,9.709,1.95,2021-04-03 18:18:46
pointing upwards,0.293,9.634,1.799,2021-04-03 18:18:46
pointing upwards,0.285,9.469,2.026,2021-04-03 18:18:46
pointing upwards,0.865,10.046,1.839,2021-04-03 18:18:46
pointing upwards,1.001,9.809,1.804,2021-04-03 18:18:46
pointing upwards,0.946,9.914,1.71,2021-04-03 18:18:47
pointing upwards,0.695,9.747,1.693,2021-04-03 18:18:47
pointing upwards,0.621,9.718,1.511,2021-04-03 18:18:47
pointing upwards,0.68,9.811,1.567,2021-04-03 18:18:47
pointing upwards,0.558,9.72,1.502,2021-04-03 18:18:47
pointing upwards,0.352,9.665,1.744,2021-04-03 18:18:47
pointing upwards,0.685,9.833,1.662,2021-04-03 18:18:47
pointing upwards,0.654,9.783,1.425,2021-04-03 18:18:47
pointing upwards,0.721,9.823,1.392,2021-04-03 18:18:47
pointing upwards,0.534,9.747,1.492,2021-04-03 18:18:47
pointing upwards,0.589,9.785,1.677,2021-04-03 18:18:47
pointing upwards,0.582,9.771,1.65,2021-04-03 18:18:48
pointing upwards,0.661,9.835,1.454,2021-04-03 18:18:48
pointing upwards,0.637,9.778,1.581,2021-04-03 18:18:48
pointing upwards,0.597,9.79,1.43,2021-04-03 18:18:48
pointing upwards,0.623,9.802,1.492,2021-04-03 18:18:48
pointing upwards,0.546,9.74,1.392,2021-04-03 18:18:48
pointing upwards,0.712,9.847,1.442,2021-04-03 18:18:48
pointing upwards,0.544,9.749,1.416,2021-04-03 18:18:49
pointing upwards,0.666,9.833,1.411,2021-04-03 18:18:49
pointing upwards,0.735,9.85,1.289,2021-04-03 18:18:49
pointing upwards,0.656,9.809,1.373,2021-04-03 18:18:49
pointing upwards,0.585,9.768,1.406,2021-04-03 18:18:49
pointing upwards,0.582,9.776,1.464,2021-04-03 18:18:49
pointing upwards,0.57,9.788,1.356,2021-04-03 18:18:49
pointing upwards,0.625,9.809,1.337,2021-04-03 18:18:49
pointing upwards,0.628,9.783,1.377,2021-04-03 18:18:49
pointing upwards,0.537,9.761,1.454,2021-04-03 18:18:49
pointing upwards,0.656,9.802,1.346,2021-04-03 18:18:49
pointing upwards,0.597,9.754,1.533,2021-04-03 18:18:49
pointing upwards,0.496,9.764,1.535,2021-04-03 18:18:49
pointing upwards,0.381,9.728,1.399,2021-04-03 18:18:49
pointing upwards,0.515,9.792,1.38,2021-04-03 18:18:49
pointing upwards,0.685,9.84,1.188,2021-04-03 18:18:49
pointing upwards,0.642,9.819,1.327,2021-04-03 18:18:49
pointing upwards,0.486,9.764,1.564,2021-04-03 18:18:49
pointing upwards,0.597,9.84,1.583,2021-04-03 18:18:50
pointing upwards,0.496,9.771,1.26,2021-04-03 18:18:50
pointing upwards,0.819,9.855,1.128,2021-04-03 18:18:50
pointing upwards,0.592,9.79,1.131,2021-04-03 18:18:50
pointing upwards,0.628,9.809,1.464,2021-04-03 18:18:50
pointing upwards,0.697,9.807,1.167,2021-04-03 18:18:50
pointing upwards,0.518,9.768,1.394,2021-04-03 18:18:50
pointing upwards,0.616,9.792,1.358,2021-04-03 18:18:50
pointing upwards,0.599,9.792,1.409,2021-04-03 18:18:50
pointing upwards,0.604,9.819,1.385,2021-04-03 18:18:50
pointing upwards,0.606,9.79,1.334,2021-04-03 18:18:50
pointing upwards,0.489,9.735,1.198,2021-04-03 18:18:51
pointing upwards,0.704,9.847,1.389,2021-04-03 18:18:51
pointing upwards,0.587,9.78,1.389,2021-04-03 18:18:51
pointing upwards,0.652,9.816,1.248,2021-04-03 18:18:51
pointing upwards,0.63,9.79,1.236,2021-04-03 18:18:51
pointing upwards,0.565,9.792,1.344,2021-04-03 18:18:51
pointing upwards,0.558,9.778,1.32,2021-04-03 18:18:51
pointing upwards,0.621,9.821,1.337,2021-04-03 18:18:51
pointing upwards,0.621,9.826,1.207,2021-04-03 18:18:51
pointing upwards,0.594,9.821,1.373,2021-04-03 18:18:51
pointing upwards,0.551,9.78,1.205,2021-04-03 18:18:52
pointing upwards,0.616,9.814,1.344,2021-04-03 18:18:52
pointing upwards,0.565,9.79,1.229,2021-04-03 18:18:52
pointing upwards,0.592,9.792,1.258,2021-04-03 18:18:52
pointing upwards,0.635,9.843,1.306,2021-04-03 18:18:52
pointing upwards,0.537,9.783,1.253,2021-04-03 18:18:52
pointing upwards,0.537,9.811,1.248,2021-04-03 18:18:52
pointing upwards,0.68,9.867,1.229,2021-04-03 18:18:52
pointing upwards,0.544,9.821,1.215,2021-04-03 18:18:52
pointing upwards,0.479,9.799,1.385,2021-04-03 18:18:52
pointing upwards,0.474,9.816,1.267,2021-04-03 18:18:52
pointing upwards,0.52,9.814,1.353,2021-04-03 18:18:52
pointing upwards,0.477,9.804,1.435,2021-04-03 18:18:53
pointing upwards,0.381,9.759,1.38,2021-04-03 18:18:53
pointing upwards,0.542,9.802,1.332,2021-04-03 18:18:53
pointing upwards,0.36,9.771,1.341,2021-04-03 18:18:53
pointing upwards,0.472,9.773,1.339,2021-04-03 18:18:53
pointing upwards,0.604,9.843,1.212,2021-04-03 18:18:53
pointing upwards,0.515,9.795,1.332,2021-04-03 18:18:53
pointing upwards,0.448,9.799,1.416,2021-04-03 18:18:53
pointing upwards,0.443,9.771,1.353,2021-04-03 18:18:53
pointing upwards,0.525,9.835,1.279,2021-04-03 18:18:53
pointing upwards,0.463,9.79,1.382,2021-04-03 18:18:53
pointing upwards,0.446,9.819,1.385,2021-04-03 18:18:53
pointing upwards,0.407,9.771,1.315,2021-04-03 18:18:54
pointing upwards,0.496,9.814,1.368,2021-04-03 18:18:54
pointing upwards,0.448,9.79,1.344,2021-04-03 18:18:54
pointing upwards,0.477,9.809,1.313,2021-04-03 18:18:54
pointing upwards,0.412,9.788,1.349,2021-04-03 18:18:54
pointing upwards,0.489,9.788,1.289,2021-04-03 18:18:54
pointing upwards,0.46,9.802,1.279,2021-04-03 18:18:54
pointing upwards,0.446,9.785,1.411,2021-04-03 18:18:54
pointing upwards,0.474,9.804,1.38,2021-04-03 18:18:54
pointing upwards,0.532,9.799,1.296,2021-04-03 18:18:54
pointing upwards,0.549,9.838,1.368,2021-04-03 18:18:54
