Activity,ax,ay,az,Time
pointing downwards,0.003,-0.017,9.736,2021-04-03 18:07:33
pointing downwards,-0.04,-1.947,9.753,2021-04-03 18:07:33
pointing downwards,0.929,-1.054,9.571,2021-04-03 18:07:33
pointing downwards,-0.735,-5.045,10.241,2021-04-03 18:07:33
pointing downwards,0.41,-1.671,10.452,2021-04-03 18:07:33
pointing downwards,1.724,-1.906,10.234,2021-04-03 18:07:33
pointing downwards,2.866,-2.426,22.318,2021-04-03 18:07:33
pointing downwards,1.458,-2.114,8.484,2021-04-03 18:07:33
pointing downwards,-0.222,-0.46,5.867,2021-04-03 18:07:33
pointing downwards,-4.925,-0.213,2.515,2021-04-03 18:07:33
pointing downwards,-4.47,-2.684,6.824,2021-04-03 18:07:33
pointing downwards,-7.034,-5.107,8.069,2021-04-03 18:07:33
pointing downwards,-4.826,-5.625,7.988,2021-04-03 18:07:34
pointing downwards,-5.337,-6.656,7.672,2021-04-03 18:07:34
pointing downwards,-5.341,-7.277,7.61,2021-04-03 18:07:34
pointing downwards,-4.891,-8.27,7.722,2021-04-03 18:07:34
pointing downwards,-2.118,-8.912,7.109,2021-04-03 18:07:34
pointing downwards,-3.543,-7.566,5.477,2021-04-03 18:07:34
pointing downwards,-2.573,-8.778,6.238,2021-04-03 18:07:34
pointing downwards,-1.994,-9.403,2.505,2021-04-03 18:07:34
pointing downwards,-1.549,-9.343,3.022,2021-04-03 18:07:34
pointing downwards,-1.529,-9.168,3.214,2021-04-03 18:07:34
pointing downwards,-1.733,-9.63,1.938,2021-04-03 18:07:34
pointing downwards,-1.776,-9.625,1.605,2021-04-03 18:07:34
pointing downwards,-2.095,-9.144,3.065,2021-04-03 18:07:34
pointing downwards,-2.104,-9.506,2.036,2021-04-03 18:07:35
pointing downwards,-1.733,-9.611,2.115,2021-04-03 18:07:35
pointing downwards,-1.659,-9.477,1.868,2021-04-03 18:07:35
pointing downwards,-1.496,-9.446,2.048,2021-04-03 18:07:35
pointing downwards,-2.054,-9.47,1.772,2021-04-03 18:07:35
pointing downwards,-2.109,-9.472,1.703,2021-04-03 18:07:35
pointing downwards,-2.109,-9.381,1.502,2021-04-03 18:07:35
pointing downwards,-1.604,-9.446,1.497,2021-04-03 18:07:35
pointing downwards,-2.209,-9.676,0.745,2021-04-03 18:07:35
pointing downwards,-1.743,-9.558,1.655,2021-04-03 18:07:35
pointing downwards,-2.042,-9.278,1.775,2021-04-03 18:07:35
pointing downwards,-1.486,-9.405,0.863,2021-04-03 18:07:35
pointing downwards,-1.687,-9.992,0.87,2021-04-03 18:07:35
pointing downwards,-1.704,-9.479,1.449,2021-04-03 18:07:35
pointing downwards,-1.685,-9.529,1.148,2021-04-03 18:07:35
pointing downwards,-1.525,-9.597,0.379,2021-04-03 18:07:36
pointing downwards,-1.671,-9.618,0.523,2021-04-03 18:07:36
pointing downwards,-1.759,-9.609,0.731,2021-04-03 18:07:36
pointing downwards,-1.539,-9.8,0.59,2021-04-03 18:07:36
pointing downwards,-1.644,-9.654,0.693,2021-04-03 18:07:36
