Activity,ax,ay,az,Time
pointing downwards,0.57,9.54,0.78,2021-04-03 18:07:33
pointing downwards,0.54,9.58,0.7,2021-04-03 18:07:33
pointing downwards,0.57,9.59,0.77,2021-04-03 18:07:33
pointing downwards,0.51,9.57,0.83,2021-04-03 18:07:33
pointing downwards,0.55,9.64,0.83,2021-04-03 18:07:33
pointing downwards,0.53,9.61,0.8,2021-04-03 18:07:33
pointing downwards,0.59,9.66,0.85,2021-04-03 18:07:34
pointing downwards,0.58,9.54,0.9,2021-04-03 18:07:34
pointing downwards,0.52,9.59,0.79,2021-04-03 18:07:34
pointing downwards,0.56,9.61,0.76,2021-04-03 18:07:34
pointing downwards,0.63,9.56,0.77,2021-04-03 18:07:34
pointing downwards,0.56,9.63,0.79,2021-04-03 18:07:35
pointing downwards,0.56,9.6,0.76,2021-04-03 18:07:35
pointing downwards,0.57,9.58,0.79,2021-04-03 18:07:35
pointing downwards,0.55,9.57,0.85,2021-04-03 18:07:35
pointing downwards,0.55,9.58,0.79,2021-04-03 18:07:35
pointing downwards,0.61,9.59,0.86,2021-04-03 18:07:36
pointing downwards,0.58,9.6,0.78,2021-04-03 18:07:36
pointing downwards,0.52,9.58,0.78,2021-04-03 18:07:36
pointing downwards,0.55,9.55,0.83,2021-04-03 18:07:36
pointing downwards,0.56,9.53,0.83,2021-04-03 18:07:37
pointing downwards,0.55,9.57,0.82,2021-04-03 18:07:37
pointing downwards,0.59,9.62,0.76,2021-04-03 18:07:37
pointing downwards,0.55,9.6,0.68,2021-04-03 18:07:37
pointing downwards,0.56,9.61,0.81,2021-04-03 18:07:37
pointing downwards,0.56,9.58,0.75,2021-04-03 18:07:38
pointing downwards,0.55,9.55,0.77,2021-04-03 18:07:38
pointing downwards,0.55,9.62,0.79,2021-04-03 18:07:38
pointing downwards,0.58,9.6,0.82,2021-04-03 18:07:38
pointing downwards,0.53,9.59,0.78,2021-04-03 18:07:38
pointing downwards,0.5,9.58,0.81,2021-04-03 18:07:39
pointing downwards,0.59,9.59,0.72,2021-04-03 18:07:39
pointing downwards,0.57,9.59,0.89,2021-04-03 18:07:39
pointing downwards,0.53,9.57,0.79,2021-04-03 18:07:39
pointing downwards,0.58,9.62,0.74,2021-04-03 18:07:39
pointing downwards,0.55,9.59,0.72,2021-04-03 18:07:40
pointing downwards,0.57,9.6,0.79,2021-04-03 18:07:40
pointing downwards,0.54,9.56,0.8,2021-04-03 18:07:40
pointing downwards,0.58,9.63,0.76,2021-04-03 18:07:40
pointing downwards,0.55,9.6,0.83,2021-04-03 18:07:40
pointing downwards,0.51,9.57,0.77,2021-04-03 18:07:41
pointing downwards,0.57,9.55,0.78,2021-04-03 18:07:41
pointing downwards,0.57,9.58,0.82,2021-04-03 18:07:41
pointing downwards,0.55,9.55,0.76,2021-04-03 18:07:41
pointing downwards,0.57,9.59,0.79,2021-04-03 18:07:41
pointing downwards,0.59,9.6,0.82,2021-04-03 18:07:42
pointing downwards,0.56,9.62,0.89,2021-04-03 18:07:42
pointing downwards,0.55,9.6,0.74,2021-04-03 18:07:42
pointing downwards,0.52,9.58,0.88,2021-04-03 18:07:42
pointing downwards,0.57,9.63,0.85,2021-04-03 18:07:42
pointing downwards,0.56,9.6,0.83,2021-04-03 18:07:43
pointing downwards,0.54,9.62,0.76,2021-04-03 18:07:43
pointing downwards,0.55,9.65,0.81,2021-04-03 18:07:43
pointing downwards,0.55,9.6,0.74,2021-04-03 18:07:43
pointing downwards,0.52,9.61,0.75,2021-04-03 18:07:43
pointing downwards,0.55,9.61,0.78,2021-04-03 18:07:44
pointing downwards,0.57,9.56,0.84,2021-04-03 18:07:44
pointing downwards,0.54,9.59,0.83,2021-04-03 18:07:44
pointing downwards,0.55,9.59,0.82,2021-04-03 18:07:44
pointing downwards,0.51,9.59,0.82,2021-04-03 18:07:45
pointing downwards,0.56,9.6,0.76,2021-04-03 18:07:45
pointing downwards,0.54,9.57,0.88,2021-04-03 18:07:45
pointing downwards,0.55,9.66,0.78,2021-04-03 18:07:45
pointing downwards,0.55,9.58,0.83,2021-04-03 18:07:46
pointing downwards,0.54,9.63,0.8,2021-04-03 18:07:46
pointing downwards,0.59,9.56,0.79,2021-04-03 18:07:46
pointing downwards,0.52,9.58,0.74,2021-04-03 18:07:46
pointing downwards,0.56,9.57,0.82,2021-04-03 18:07:46
pointing downwards,0.51,9.59,0.79,2021-04-03 18:07:46
pointing downwards,0.51,9.61,0.8,2021-04-03 18:07:47
pointing downwards,0.54,9.66,0.8,2021-04-03 18:07:47
pointing downwards,0.55,9.61,0.83,2021-04-03 18:07:47
pointing downwards,0.56,9.58,0.75,2021-04-03 18:07:47
pointing downwards,0.53,9.6,0.8,2021-04-03 18:07:47
pointing downwards,0.56,9.6,0.74,2021-04-03 18:07:48
pointing downwards,0.53,9.58,0.83,2021-04-03 18:07:48
pointing downwards,0.56,9.54,0.85,2021-04-03 18:07:48
pointing downwards,0.55,9.61,0.8,2021-04-03 18:07:48
pointing downwards,0.53,9.59,0.78,2021-04-03 18:07:48
pointing downwards,0.53,9.56,0.91,2021-04-03 18:07:49
pointing downwards,0.57,9.6,0.79,2021-04-03 18:07:49
pointing downwards,0.6,9.6,0.8,2021-04-03 18:07:49
pointing downwards,0.6,9.57,0.82,2021-04-03 18:07:49
pointing downwards,0.53,9.61,0.86,2021-04-03 18:07:49
pointing downwards,0.54,9.54,0.83,2021-04-03 18:07:50
pointing downwards,0.52,9.56,0.81,2021-04-03 18:07:50
pointing downwards,0.56,9.58,0.88,2021-04-03 18:07:50
pointing downwards,0.52,9.59,0.79,2021-04-03 18:07:50
pointing downwards,0.58,9.59,0.79,2021-04-03 18:07:50
pointing downwards,0.57,9.59,0.86,2021-04-03 18:07:51
pointing downwards,0.57,9.59,0.75,2021-04-03 18:07:51
pointing downwards,0.5,9.63,0.84,2021-04-03 18:07:51
pointing downwards,0.56,9.61,0.83,2021-04-03 18:07:51
pointing downwards,0.53,9.65,0.75,2021-04-03 18:07:51
pointing downwards,0.56,9.54,0.87,2021-04-03 18:07:52
pointing downwards,0.54,9.56,0.77,2021-04-03 18:07:52
pointing downwards,0.58,9.56,0.83,2021-04-03 18:07:52
pointing downwards,0.57,9.57,0.76,2021-04-03 18:07:52
pointing downwards,0.57,9.6,0.77,2021-04-03 18:07:53
pointing downwards,0.55,9.59,0.72,2021-04-03 18:07:53
pointing downwards,0.56,9.54,0.79,2021-04-03 18:07:53
pointing downwards,0.53,9.49,0.81,2021-04-03 18:07:53
pointing downwards,0.62,9.63,0.77,2021-04-03 18:07:53
pointing downwards,0.58,9.58,0.92,2021-04-03 18:07:54
pointing downwards,0.54,9.66,0.78,2021-04-03 18:07:54
pointing downwards,0.53,9.57,0.8,2021-04-03 18:07:54
pointing downwards,0.53,9.57,0.75,2021-04-03 18:07:54
pointing downwards,0.57,9.56,0.83,2021-04-03 18:07:55
pointing downwards,0.52,9.62,0.85,2021-04-03 18:07:55
pointing downwards,0.55,9.57,0.76,2021-04-03 18:07:55
pointing downwards,0.53,9.53,0.74,2021-04-03 18:07:55
pointing downwards,0.57,9.61,0.8,2021-04-03 18:07:55
pointing downwards,0.5,9.64,0.8,2021-04-03 18:07:55
pointing downwards,0.57,9.52,0.79,2021-04-03 18:07:56
pointing downwards,0.57,9.62,0.8,2021-04-03 18:07:56
pointing downwards,0.54,9.6,0.8,2021-04-03 18:07:56
pointing downwards,0.62,9.63,0.83,2021-04-03 18:07:56
pointing downwards,0.57,9.59,0.79,2021-04-03 18:07:56
pointing downwards,0.58,9.61,0.78,2021-04-03 18:07:57
pointing downwards,0.55,9.59,0.84,2021-04-03 18:07:57
pointing downwards,0.55,9.64,0.83,2021-04-03 18:07:57
pointing downwards,0.57,9.55,0.77,2021-04-03 18:07:57
pointing downwards,0.56,9.59,0.73,2021-04-03 18:07:57
pointing downwards,0.55,9.65,0.74,2021-04-03 18:07:58
pointing downwards,0.52,9.59,0.86,2021-04-03 18:07:58
pointing downwards,0.55,9.6,0.78,2021-04-03 18:07:58
pointing downwards,0.55,9.6,0.75,2021-04-03 18:07:58
pointing downwards,0.6,9.6,0.78,2021-04-03 18:07:58
pointing downwards,0.53,9.55,0.83,2021-04-03 18:07:59
pointing downwards,0.53,9.64,0.8,2021-04-03 18:07:59
pointing downwards,0.56,9.58,0.8,2021-04-03 18:07:59
pointing downwards,0.56,9.59,0.78,2021-04-03 18:07:59
pointing downwards,0.58,9.58,0.73,2021-04-03 18:07:59
pointing downwards,0.53,9.6,0.82,2021-04-03 18:08:00
pointing downwards,0.56,9.63,0.72,2021-04-03 18:08:00
pointing downwards,0.53,9.59,0.76,2021-04-03 18:08:00
pointing downwards,0.57,9.59,0.78,2021-04-03 18:08:00
pointing downwards,0.6,9.58,0.89,2021-04-03 18:08:00
pointing downwards,0.54,9.63,0.8,2021-04-03 18:08:01
pointing downwards,0.55,9.56,0.77,2021-04-03 18:08:01
pointing downwards,0.55,9.67,0.77,2021-04-03 18:08:01
pointing downwards,0.52,9.57,0.89,2021-04-03 18:08:01
pointing downwards,0.55,9.56,0.82,2021-04-03 18:08:01
pointing downwards,0.61,9.61,0.77,2021-04-03 18:08:02
pointing downwards,0.52,9.59,0.79,2021-04-03 18:08:02
pointing downwards,0.57,9.57,0.82,2021-04-03 18:08:02
pointing downwards,0.6,9.55,0.75,2021-04-03 18:08:02
pointing downwards,0.55,9.59,0.76,2021-04-03 18:08:02
pointing downwards,0.52,9.59,0.85,2021-04-03 18:08:03
pointing downwards,0.56,9.54,0.81,2021-04-03 18:08:03
pointing downwards,0.5,9.56,0.85,2021-04-03 18:08:03
pointing downwards,0.53,9.6,0.83,2021-04-03 18:08:03
pointing downwards,0.56,9.6,0.8,2021-04-03 18:08:03
pointing downwards,0.6,9.58,0.82,2021-04-03 18:08:04
pointing downwards,0.55,9.62,0.77,2021-04-03 18:08:04
pointing downwards,0.51,9.62,0.85,2021-04-03 18:08:04
pointing downwards,0.53,9.62,0.82,2021-04-03 18:08:04
pointing downwards,0.57,9.53,0.75,2021-04-03 18:08:05
pointing downwards,0.56,9.6,0.81,2021-04-03 18:08:05
pointing downwards,0.54,9.6,0.78,2021-04-03 18:08:05
pointing downwards,0.56,9.58,0.79,2021-04-03 18:08:05
pointing downwards,0.58,9.62,0.88,2021-04-03 18:08:05
pointing downwards,0.58,9.61,0.81,2021-04-03 18:08:06
pointing downwards,0.56,9.57,0.8,2021-04-03 18:08:06
pointing downwards,0.55,9.57,0.88,2021-04-03 18:08:06
pointing downwards,0.48,9.61,0.82,2021-04-03 18:08:06
pointing downwards,0.55,9.64,0.79,2021-04-03 18:08:06
pointing downwards,0.59,9.59,0.71,2021-04-03 18:08:07
pointing downwards,0.52,9.58,0.83,2021-04-03 18:08:07
pointing downwards,0.55,9.63,0.72,2021-04-03 18:08:07
pointing downwards,0.53,9.56,0.86,2021-04-03 18:08:07
pointing downwards,0.59,9.62,0.79,2021-04-03 18:08:07
pointing downwards,0.56,9.57,0.78,2021-04-03 18:08:08
pointing downwards,0.55,9.61,0.81,2021-04-03 18:08:08
pointing downwards,0.56,9.6,0.74,2021-04-03 18:08:08
pointing downwards,0.54,9.57,0.81,2021-04-03 18:08:08
pointing downwards,0.54,9.62,0.75,2021-04-03 18:08:08
pointing downwards,0.55,9.58,0.77,2021-04-03 18:08:09
pointing downwards,0.57,9.6,0.75,2021-04-03 18:08:09
pointing downwards,0.53,9.56,0.86,2021-04-03 18:08:09
pointing downwards,0.52,9.61,0.79,2021-04-03 18:08:09
pointing downwards,0.53,9.59,0.87,2021-04-03 18:08:09
pointing downwards,0.55,9.57,0.86,2021-04-03 18:08:10
pointing downwards,0.57,9.59,0.74,2021-04-03 18:08:10
pointing downwards,0.59,9.58,0.82,2021-04-03 18:08:10
pointing downwards,0.6,9.59,0.87,2021-04-03 18:08:10
pointing downwards,0.54,9.58,0.76,2021-04-03 18:08:10
pointing downwards,0.55,9.58,0.75,2021-04-03 18:08:11
pointing downwards,0.57,9.57,0.84,2021-04-03 18:08:11
pointing downwards,0.53,9.56,0.72,2021-04-03 18:08:11
pointing downwards,0.53,9.59,0.72,2021-04-03 18:08:11
pointing downwards,0.55,9.61,0.78,2021-04-03 18:08:11
pointing downwards,0.51,9.62,0.82,2021-04-03 18:08:12
pointing downwards,0.55,9.59,0.76,2021-04-03 18:08:12
pointing downwards,0.56,9.54,0.8,2021-04-03 18:08:12
pointing downwards,0.53,9.57,0.85,2021-04-03 18:08:12
pointing downwards,0.6,9.57,0.83,2021-04-03 18:08:13
pointing downwards,0.55,9.56,0.78,2021-04-03 18:08:13
pointing downwards,0.6,9.55,0.81,2021-04-03 18:08:13
pointing downwards,0.56,9.6,0.82,2021-04-03 18:08:13
pointing downwards,0.54,9.59,0.76,2021-04-03 18:08:13
pointing downwards,0.56,9.59,0.77,2021-04-03 18:08:13
pointing downwards,0.61,9.61,0.8,2021-04-03 18:08:14
pointing downwards,0.57,9.59,0.85,2021-04-03 18:08:14
pointing downwards,0.53,9.6,0.81,2021-04-03 18:08:14
pointing downwards,0.54,9.59,0.82,2021-04-03 18:08:14
pointing downwards,0.54,9.61,0.88,2021-04-03 18:08:14
pointing downwards,0.53,9.57,0.87,2021-04-03 18:08:15
pointing downwards,0.54,9.61,0.81,2021-04-03 18:08:15
pointing downwards,0.55,9.59,0.78,2021-04-03 18:08:15
pointing downwards,0.53,9.57,0.77,2021-04-03 18:08:15
pointing downwards,0.6,9.57,0.88,2021-04-03 18:08:16
pointing downwards,0.58,9.58,0.86,2021-04-03 18:08:16
pointing downwards,0.57,9.59,0.76,2021-04-03 18:08:16
pointing downwards,0.58,9.59,0.72,2021-04-03 18:08:16
pointing downwards,0.57,9.6,0.81,2021-04-03 18:08:16
pointing downwards,0.51,9.54,0.85,2021-04-03 18:08:17
pointing downwards,0.52,9.59,0.83,2021-04-03 18:08:17
pointing downwards,0.56,9.61,0.82,2021-04-03 18:08:17
pointing downwards,0.52,9.59,0.83,2021-04-03 18:08:17
pointing downwards,0.52,9.56,0.82,2021-04-03 18:08:17
pointing downwards,0.59,9.56,0.77,2021-04-03 18:08:18
pointing downwards,0.55,9.53,0.79,2021-04-03 18:08:18
pointing downwards,0.57,9.62,0.76,2021-04-03 18:08:18
pointing downwards,0.59,9.55,0.76,2021-04-03 18:08:18
pointing downwards,0.54,9.64,0.84,2021-04-03 18:08:18
pointing downwards,0.49,9.56,0.75,2021-04-03 18:08:19
pointing downwards,0.58,9.51,0.83,2021-04-03 18:08:19
pointing downwards,0.54,9.61,0.76,2021-04-03 18:08:19
pointing downwards,0.54,9.62,0.88,2021-04-03 18:08:19
pointing downwards,0.55,9.55,0.86,2021-04-03 18:08:19
pointing downwards,0.53,9.65,0.82,2021-04-03 18:08:20
pointing downwards,0.54,9.59,0.83,2021-04-03 18:08:20
pointing downwards,0.55,9.54,0.77,2021-04-03 18:08:20
pointing downwards,0.56,9.62,0.8,2021-04-03 18:08:20
pointing downwards,0.56,9.59,0.85,2021-04-03 18:08:21
pointing downwards,0.53,9.59,0.83,2021-04-03 18:08:21
pointing downwards,0.56,9.57,0.77,2021-04-03 18:08:21
pointing downwards,0.58,9.6,0.88,2021-04-03 18:08:21
pointing downwards,0.58,9.6,0.82,2021-04-03 18:08:21
pointing downwards,0.53,9.58,0.78,2021-04-03 18:08:21
pointing downwards,0.56,9.59,0.78,2021-04-03 18:08:22
pointing downwards,0.56,9.6,0.8,2021-04-03 18:08:22
