Activity,ax,ay,az,Time
resting on the table,-0.22,-0.24,9.81,2021-03-27 15:12:04
resting on the table,-0.24,-0.26,9.84,2021-03-27 15:12:04
resting on the table,-0.26,-0.26,9.8,2021-03-27 15:12:04
resting on the table,-0.23,-0.25,9.8,2021-03-27 15:12:04
resting on the table,-0.24,-0.25,9.84,2021-03-27 15:12:05
resting on the table,-0.25,-0.24,9.81,2021-03-27 15:12:05
resting on the table,-0.24,-0.24,9.82,2021-03-27 15:12:05
resting on the table,-0.24,-0.26,9.81,2021-03-27 15:12:05
resting on the table,-0.23,-0.25,9.8,2021-03-27 15:12:05
resting on the table,-0.25,-0.26,9.8,2021-03-27 15:12:06
resting on the table,-0.24,-0.24,9.76,2021-03-27 15:12:06
resting on the table,-0.23,-0.26,9.78,2021-03-27 15:12:06
resting on the table,-0.25,-0.25,9.8,2021-03-27 15:12:06
resting on the table,-0.23,-0.24,9.8,2021-03-27 15:12:06
resting on the table,-0.24,-0.25,9.79,2021-03-27 15:12:07
resting on the table,-0.27,-0.26,9.8,2021-03-27 15:12:07
resting on the table,-0.24,-0.26,9.8,2021-03-27 15:12:07
resting on the table,-0.24,-0.25,9.81,2021-03-27 15:12:07
resting on the table,-0.25,-0.26,9.79,2021-03-27 15:12:07
resting on the table,-0.26,-0.24,9.8,2021-03-27 15:12:08
resting on the table,-0.22,-0.23,9.78,2021-03-27 15:12:08
resting on the table,-0.24,-0.28,9.79,2021-03-27 15:12:08
resting on the table,-0.26,-0.23,9.81,2021-03-27 15:12:08
resting on the table,-0.24,-0.24,9.82,2021-03-27 15:12:08
resting on the table,-0.25,-0.24,9.81,2021-03-27 15:12:09
resting on the table,-0.23,-0.27,9.8,2021-03-27 15:12:09
resting on the table,-0.23,-0.27,9.82,2021-03-27 15:12:09
resting on the table,-0.23,-0.25,9.81,2021-03-27 15:12:09
resting on the table,-0.24,-0.25,9.8,2021-03-27 15:12:09
resting on the table,-0.26,-0.27,9.82,2021-03-27 15:12:10
resting on the table,-0.25,-0.25,9.8,2021-03-27 15:12:10
resting on the table,-0.25,-0.24,9.84,2021-03-27 15:12:10
resting on the table,-0.24,-0.26,9.81,2021-03-27 15:12:10
resting on the table,-0.24,-0.26,9.84,2021-03-27 15:12:10
