Activity,ax,ay,az,Time
pointing upwards,0.3,-9.9,-0.48,2021-04-03 18:18:52
pointing upwards,0.22,-9.9,-0.44,2021-04-03 18:18:53
pointing upwards,0.26,-9.94,-0.41,2021-04-03 18:18:53
pointing upwards,0.22,-9.94,-0.5,2021-04-03 18:18:53
pointing upwards,0.26,-9.91,-0.46,2021-04-03 18:18:53
pointing upwards,0.24,-9.92,-0.45,2021-04-03 18:18:53
pointing upwards,0.25,-9.88,-0.44,2021-04-03 18:18:54
pointing upwards,0.26,-9.9,-0.45,2021-04-03 18:18:54
pointing upwards,0.27,-9.89,-0.45,2021-04-03 18:18:54
pointing upwards,0.26,-9.96,-0.52,2021-04-03 18:18:54
pointing upwards,0.25,-9.94,-0.46,2021-04-03 18:18:54
pointing upwards,0.21,-9.9,-0.41,2021-04-03 18:18:55
pointing upwards,0.23,-9.87,-0.37,2021-04-03 18:18:55
pointing upwards,0.25,-9.93,-0.4,2021-04-03 18:18:55
pointing upwards,0.22,-9.92,-0.43,2021-04-03 18:18:55
pointing upwards,0.23,-9.94,-0.41,2021-04-03 18:18:55
pointing upwards,0.22,-9.93,-0.48,2021-04-03 18:18:56
pointing upwards,0.21,-9.92,-0.48,2021-04-03 18:18:56
pointing upwards,0.29,-9.9,-0.5,2021-04-03 18:18:56
pointing upwards,0.22,-9.92,-0.47,2021-04-03 18:18:56
pointing upwards,0.24,-9.9,-0.41,2021-04-03 18:18:56
pointing upwards,0.25,-9.91,-0.41,2021-04-03 18:18:57
pointing upwards,0.26,-9.91,-0.39,2021-04-03 18:18:57
pointing upwards,0.27,-9.92,-0.47,2021-04-03 18:18:57
pointing upwards,0.21,-9.92,-0.5,2021-04-03 18:18:57
pointing upwards,0.26,-9.92,-0.46,2021-04-03 18:18:57
pointing upwards,0.21,-9.93,-0.46,2021-04-03 18:18:58
pointing upwards,0.22,-9.93,-0.45,2021-04-03 18:18:58
pointing upwards,0.23,-9.95,-0.45,2021-04-03 18:18:58
pointing upwards,0.22,-9.97,-0.35,2021-04-03 18:18:58
pointing upwards,0.24,-9.91,-0.48,2021-04-03 18:18:58
pointing upwards,0.19,-9.92,-0.47,2021-04-03 18:18:59
pointing upwards,0.24,-9.9,-0.47,2021-04-03 18:18:59
pointing upwards,0.26,-9.91,-0.5,2021-04-03 18:18:59
pointing upwards,0.27,-9.9,-0.51,2021-04-03 18:18:59
pointing upwards,0.28,-9.93,-0.42,2021-04-03 18:18:59
pointing upwards,0.26,-9.97,-0.44,2021-04-03 18:19:00
pointing upwards,0.28,-9.98,-0.4,2021-04-03 18:19:00
pointing upwards,0.24,-9.92,-0.5,2021-04-03 18:19:00
pointing upwards,0.28,-9.95,-0.44,2021-04-03 18:19:00
pointing upwards,0.26,-9.93,-0.49,2021-04-03 18:19:00
pointing upwards,0.23,-9.9,-0.47,2021-04-03 18:19:01
pointing upwards,0.23,-9.96,-0.42,2021-04-03 18:19:01
pointing upwards,0.2,-9.92,-0.51,2021-04-03 18:19:01
pointing upwards,0.22,-9.9,-0.47,2021-04-03 18:19:01
pointing upwards,0.23,-9.93,-0.48,2021-04-03 18:19:01
pointing upwards,0.27,-9.94,-0.47,2021-04-03 18:19:02
pointing upwards,0.25,-9.91,-0.49,2021-04-03 18:19:02
pointing upwards,0.26,-9.89,-0.47,2021-04-03 18:19:02
pointing upwards,0.26,-9.89,-0.47,2021-04-03 18:19:02
pointing upwards,0.22,-9.91,-0.52,2021-04-03 18:19:03
pointing upwards,0.24,-9.93,-0.47,2021-04-03 18:19:03
pointing upwards,0.21,-9.92,-0.41,2021-04-03 18:19:03
pointing upwards,0.21,-9.93,-0.47,2021-04-03 18:19:03
pointing upwards,0.25,-9.91,-0.45,2021-04-03 18:19:03
pointing upwards,0.28,-9.92,-0.48,2021-04-03 18:19:04
pointing upwards,0.22,-9.97,-0.46,2021-04-03 18:19:04
pointing upwards,0.26,-9.93,-0.52,2021-04-03 18:19:04
pointing upwards,0.22,-9.92,-0.49,2021-04-03 18:19:04
pointing upwards,0.21,-9.93,-0.48,2021-04-03 18:19:04
pointing upwards,0.23,-9.9,-0.45,2021-04-03 18:19:05
pointing upwards,0.22,-9.92,-0.38,2021-04-03 18:19:05
pointing upwards,0.23,-9.93,-0.54,2021-04-03 18:19:05
pointing upwards,0.27,-9.95,-0.37,2021-04-03 18:19:05
pointing upwards,0.21,-9.91,-0.44,2021-04-03 18:19:05
pointing upwards,0.26,-9.92,-0.39,2021-04-03 18:19:06
