Activity,ax,ay,az,Time
resting on the table,0.113,0.227,9.848,2021-03-27 15:13:06
resting on the table,0.149,0.385,9.844,2021-03-27 15:13:06
resting on the table,0.089,0.479,9.827,2021-03-27 15:13:06
resting on the table,0.202,0.572,9.832,2021-03-27 15:13:06
resting on the table,0.326,0.696,9.789,2021-03-27 15:13:06
resting on the table,0.079,0.316,9.839,2021-03-27 15:13:06
resting on the table,-0.438,0.512,10.002,2021-03-27 15:13:06
resting on the table,-0.414,-0.63,11.771,2021-03-27 15:13:06
resting on the table,-0.751,-1.128,9.614,2021-03-27 15:13:06
resting on the table,0.053,0.256,9.7,2021-03-27 15:13:06
resting on the table,0.142,0.23,9.8,2021-03-27 15:13:06
resting on the table,0.106,0.249,9.805,2021-03-27 15:13:06
resting on the table,0.132,0.239,9.805,2021-03-27 15:13:07
resting on the table,0.321,0.359,9.789,2021-03-27 15:13:07
resting on the table,-0.306,0.012,9.841,2021-03-27 15:13:07
resting on the table,0.099,0.316,9.8,2021-03-27 15:13:07
resting on the table,0.115,0.256,9.796,2021-03-27 15:13:07
resting on the table,0.132,0.246,9.796,2021-03-27 15:13:07
resting on the table,0.113,0.246,9.8,2021-03-27 15:13:07
resting on the table,0.144,0.258,9.736,2021-03-27 15:13:07
resting on the table,0.118,0.244,9.748,2021-03-27 15:13:07
resting on the table,0.106,0.244,9.8,2021-03-27 15:13:07
resting on the table,0.115,0.249,9.772,2021-03-27 15:13:08
resting on the table,0.13,0.244,9.798,2021-03-27 15:13:08
resting on the table,0.12,0.254,9.8,2021-03-27 15:13:08
resting on the table,0.123,0.249,9.798,2021-03-27 15:13:08
resting on the table,0.111,0.239,9.774,2021-03-27 15:13:08
resting on the table,0.118,0.251,9.774,2021-03-27 15:13:08
resting on the table,0.13,0.244,9.765,2021-03-27 15:13:08
resting on the table,0.125,0.239,9.779,2021-03-27 15:13:08
resting on the table,0.113,0.237,9.796,2021-03-27 15:13:08
resting on the table,0.125,0.237,9.779,2021-03-27 15:13:08
resting on the table,0.115,0.251,9.769,2021-03-27 15:13:08
resting on the table,0.12,0.244,9.798,2021-03-27 15:13:08
resting on the table,0.127,0.246,9.786,2021-03-27 15:13:08
resting on the table,0.123,0.254,9.784,2021-03-27 15:13:08
resting on the table,0.12,0.234,9.777,2021-03-27 15:13:09
resting on the table,0.12,0.232,9.767,2021-03-27 15:13:09
resting on the table,0.125,0.234,9.781,2021-03-27 15:13:09
resting on the table,0.132,0.234,9.791,2021-03-27 15:13:09
resting on the table,0.12,0.249,9.777,2021-03-27 15:13:09
resting on the table,0.113,0.258,9.774,2021-03-27 15:13:09
resting on the table,0.111,0.239,9.786,2021-03-27 15:13:10
resting on the table,0.127,0.225,9.767,2021-03-27 15:13:10
resting on the table,0.12,0.256,9.779,2021-03-27 15:13:10
resting on the table,0.115,0.251,9.779,2021-03-27 15:13:10
resting on the table,0.125,0.227,9.779,2021-03-27 15:13:10
resting on the table,0.13,0.239,9.772,2021-03-27 15:13:10
resting on the table,0.106,0.246,9.757,2021-03-27 15:13:10
resting on the table,0.123,0.244,9.762,2021-03-27 15:13:10
resting on the table,0.106,0.23,9.772,2021-03-27 15:13:10
resting on the table,0.125,0.249,9.765,2021-03-27 15:13:10
resting on the table,0.106,0.246,9.769,2021-03-27 15:13:10
resting on the table,0.103,0.27,9.779,2021-03-27 15:13:10
resting on the table,0.13,0.265,9.757,2021-03-27 15:13:10
resting on the table,0.125,0.23,9.774,2021-03-27 15:13:11
resting on the table,0.118,0.232,9.762,2021-03-27 15:13:11
resting on the table,0.113,0.244,9.769,2021-03-27 15:13:11
resting on the table,0.106,0.244,9.772,2021-03-27 15:13:11
resting on the table,0.108,0.22,9.772,2021-03-27 15:13:11
resting on the table,0.113,0.242,9.762,2021-03-27 15:13:11
resting on the table,0.099,0.237,9.767,2021-03-27 15:13:11
resting on the table,0.111,0.239,9.774,2021-03-27 15:13:11
resting on the table,0.106,0.239,9.774,2021-03-27 15:13:11
resting on the table,0.111,0.251,9.769,2021-03-27 15:13:12
